,Companies,Farm Segment,Solution Focus,Country,All Investors,Total Funding,country,code_2,code_3,country_code,iso_3166_2,continent,sub_region,region_code,sub_region_code,Funding,region
0,@Tech,"Livestock, Poultry, & Meats",Monitoring & Management,Brazil,"Positivo Tecnologia, The Yield Lab",0.1,Brazil,BR,BRA,76,ISO 3166-2:BR,Americas,South America,19,5,100000,South America
1,3Bar Biologics,Crops,Biotech,United States,"Rev1 Ventures, Village Capital, Carmen Innovations, Maumee Ventures, Ohio TechAngels, Queen City Angels, SVG Ventures, THRIVE Accelerator",2.93,United States,US,USA,840,ISO 3166-2:US,Americas,Northern America,19,21,2930000,North America
2,640 Labs,Crops,Monitoring & Management,United States,Climate FieldView,0.85,United States,US,USA,840,ISO 3166-2:US,Americas,Northern America,19,21,850000,North America
3,80 Acres Farms,Crops,Monitoring & Management,United States,"Virgo Investment Group, Unreasonable Group, Barclays Ventures, Beyond Net Zero, Blue Earth Capital, General Atlantic, Siemens Financial Services, Taurus Ventures",200.1,United States,US,USA,840,ISO 3166-2:US,Americas,Northern America,19,21,200100000,North America
4,99 Counties,,Monitoring & Management,United States,"Google Ventures, OMERS Ventures, Supply Change Capital, Union Labs Ventures",3.72,United States,US,USA,840,ISO 3166-2:US,Americas,Northern America,19,21,3720000,North America
5,Aanika Biosciences,Multi-faceted,Packing & Supply Chain,United States,"RebelBio, SOSV, Alex Chung, Draper Associates, RPS Ventures, Plug and Play Ventures, Adit Ventures",15.1,United States,US,USA,840,ISO 3166-2:US,Americas,Northern America,19,21,15100000,North America
6,Aarav Unmanned Systems,Crops,Monitoring & Management,India,"Ashok Atluri, Mohandas Pai, Sanjay Jesrani, StartupXseed Ventures, The Phoenix Fund, Qualcomm Ventures, 3one4 Capital Partners, 500 Global, Bellwether Advisors, growX ventures",0.01,India,IN,IND,356,ISO 3166-2:IN,Asia,Southern Asia,142,34,10000,Asia
7,Ab E Discovery,Crops,Biotech,United States,"Wisconsin Alumni Research Foundation, Paycheck Protection Program",1.57,United States,US,USA,840,ISO 3166-2:US,Americas,Northern America,19,21,1570000,North America
8,Abelio,Crops,Monitoring & Management,France,"Airbus Ventures, Bpifrance, Occitanie Angels",0.57,France,FR,FRA,250,ISO 3166-2:FR,Europe,Western Europe,150,155,570000,Europe
9,Abundant Robotics,Crops,Monitoring & Management,United States,"BayWa r.e., Comet Labs, Google Ventures, KPCB Edge, Tellus Partners, Yamaha Motor Ventures, SRI International",10,United States,US,USA,840,ISO 3166-2:US,Americas,Northern America,19,21,10000000,North America
10,Acopio,Crops,Packing & Supply Chain,United States,"Better Ventures, Fair Trade USA",0.02,United States,US,USA,840,ISO 3166-2:US,Americas,Northern America,19,21,20000,North America
11,AcreTrader,Crops,Business Planning & Finance,United States,"RZC Investments, Revel Partners, Jump Capital, Narya Capital, Revolution Rise Of The Rest Seed Fund, Anthemis, Drive Capital",77,United States,US,USA,840,ISO 3166-2:US,Americas,Northern America,19,21,77000000,North America
12,AdaViv,Crops,Monitoring & Management,United States,"Delta Emerald Ventures, Poseidon Asset Management, SOJE Fund",2.3,United States,US,USA,840,ISO 3166-2:US,Americas,Northern America,19,21,2300000,North America
13,ADGraft,Crops,Monitoring & Management,Romania,Agroland,0.1,Romania,RO,ROU,642,ISO 3166-2:RO,Europe,Eastern Europe,150,151,100000,Europe
14,Adroit Robotics,Crops,Monitoring & Management,Brazil,,0.41,Brazil,BR,BRA,76,ISO 3166-2:BR,Americas,South America,19,5,410000,South America
15,Advanced Animal Diagnostics,"Livestock, Poultry, & Meats",Monitoring & Management,United States,"InterSouth Partners, Novartis Venture Funds, Cultivian Sandbox, Kansas Bioscience Authority, LabCorp, Middleland Capital, Paycheck Protection Program, Small Business Innovation Research Awards, North Carolina Biotechnology Center, Origami Capital Partners",52.44,United States,US,USA,840,ISO 3166-2:US,Americas,Northern America,19,21,52440000,North America
16,Advanced BioNutrition,Multi-faceted,Monitoring & Management,United States,"Maryland Venture Fund, Eastbourne Capital Management, Maryland Department of Business & Economic Development, Sherbrooke Capital, Arancia Industrial SA de CV, BASF Venture Capital, Emerald Technology Ventures, Sea Change Management, Kirk Ceo, William Kirk, Third Point, National Science Foundation, Paycheck Protection Program",26.62,United States,US,USA,840,ISO 3166-2:US,Americas,Northern America,19,21,26620000,North America
17,Advanced Farm Technologies,Crops,Monitoring & Management,United States,"Yamaha Motor Ventures, Paycheck Protection Program, Catapult Ventures, Impact Ventures, Kubota Corporation",34.45,United States,US,USA,840,ISO 3166-2:US,Americas,Northern America,19,21,34450000,North America
18,Advanced Growing Systems,Crops,Monitoring & Management,United States,"Sands Brothers Venture Capital, Vision Capital Advisors",2.38,United States,US,USA,840,ISO 3166-2:US,Americas,Northern America,19,21,2380000,North America
19,Advanced Intelligent Systems,Crops,Monitoring & Management,Canada,"Sustainable Development Technology Canada, Canadian Technology Accelerator in Boston",1.66,Canada,CA,CAN,124,ISO 3166-2:CA,Americas,Northern America,19,21,1660000,North America
20,Aegro,Crops,Monitoring & Management,Brazil,"WOW Aceleradora, SP Ventures, ab seed, ADM Venture Capital, Nizan Guanaes, SLC Ventures",3.54,Brazil,BR,BRA,76,ISO 3166-2:BR,Americas,South America,19,5,3540000,South America
21,AeroBloom,Crops,Monitoring & Management,United States,,0.07,United States,US,USA,840,ISO 3166-2:US,Americas,Northern America,19,21,70000,North America
22,Aerobotics,Crops,Monitoring & Management,South Africa,"Startupbootcamp InsurTech, 4Di Capital, Savannah Fund, #cocreateSA, XL Africa, Google for Startups Accelerator, AgFunder, AngelList, Nedbank Capital, Paper Plane Ventures, VivaTech, Endeavor, Naspers, FMO, Cathay Innovation",21.64,South Africa,ZA,ZAF,710,ISO 3166-2:ZA,Africa,Southern Africa,2,18,21640000,Africa
23,Aerodyne Group,Crops,Monitoring & Management,Malaysia,"Johor Corporation, Axiata Digital Innovation Fund, Drone Fund, 500 Global, Gobi Partners, InterVest, Kejora Ventures, VentureTECH, Arc Ventures, Leave a Nest Capital, North Summit Capital, Autonomous Control Systems Laboratory, Kobashi Holdings, Real Tech Fund",30,Malaysia,MY,MYS,458,ISO 3166-2:MY,Asia,South-Eastern Asia,142,35,30000000,Asia
24,AeroFarms,Crops,Monitoring & Management,United States,"21Ventures, Quercus Trust, GSR Ventures, Middleland Capital, MissionPoint Partners, Wheatsheaf Investments, ADM Capital, AllianceBernstein, David Chang, David Petraeus, IKEA, Meraas, Goldman Sachs, Prudential, Foundation for Food and Agriculture Research, INGKA Group, Abu Dhabi Investment Office, Paycheck Protection Program",170.86,United States,US,USA,840,ISO 3166-2:US,Americas,Northern America,19,21,170860000,North America
25,Aeronext,Crops,Monitoring & Management,Japan,"Aucfan, Drone Fund, FFG Venture Business Partners, Japan Asia Group, CHANGE",0.71,Japan,JP,JPN,392,ISO 3166-2:JP,Asia,Eastern Asia,142,30,710000,Asia
26,Aerospring Gardens,Crops,Monitoring & Management,Singapore,Sirius Venture Capital,1,Singapore,SG,SGP,702,ISO 3166-2:SG,Asia,South-Eastern Asia,142,35,1000000,Asia
27,Afimilk,"Livestock, Poultry, & Meats",Monitoring & Management,Israel,Livestock Improvement Corporation,69,Israel,IL,ISR,376,ISO 3166-2:IL,Asia,Western Asia,142,145,69000000,Asia
28,AgBiome,Crops,Biotech,United States,"180 Degree Capital, ARCH Venture Partners, Innotech Advisers, Polaris Partners, Monsanto Growth Ventures, Novozymes, Syngenta Ventures, Bill & Melinda Gates Foundation, Pontifax, University of Texas Investment Management Company, Fidelity Investments, Pontifax AgTech, Paycheck Protection Program, University of North Carolina at Chapel Hill, Novalis LifeSciences, Bayer, Blue Horizon, The Mosaic Company",236.5,United States,US,USA,840,ISO 3166-2:US,Americas,Northern America,19,21,236500000,North America
29,Agbotic,Crops,Monitoring & Management,United States,,5.08,United States,US,USA,840,ISO 3166-2:US,Americas,Northern America,19,21,5080000,North America
30,AGDATA,Multi-faceted,Monitoring & Management,United States,"SFW Capital Partners, Vista Equity Partners, GE Capital, Carousel Capital",69,United States,US,USA,840,ISO 3166-2:US,Americas,Northern America,19,21,69000000,North America
31,Agdatahub,Multi-faceted,Business Planning & Finance,France,"Api-Agro, Banque des Territoires",2.93,France,FR,FRA,250,ISO 3166-2:FR,Europe,Western Europe,150,155,2930000,Europe
32,AgEagle Aerial Systems,Crops,Monitoring & Management,United States,EnerJex Resources,0.8,United States,US,USA,840,ISO 3166-2:US,Americas,Northern America,19,21,800000,North America
